tag,group,C-cornflowerblue,Zig-orange,Rust-indianred
total,0,407653,401,43386
memory,1,5905,5,187
allocation,1,522,0,34
segmentation-fault,1,6339,2,33
buffer-overflow,1,866,0,0
undefined-behavior,2,1102,1,55
race-condition,2,195,0,6
macros,2,3237,1,567
